	Spot	logFC	AveExpr	t	P.Value	adj.P.Val	B
1117	1117	-2.09733219182176	19.609305059879	-12.2339455822891	1.78384798967234e-07	0.0001154149649318	7.79646804320949
503	503	1.67168257387163	19.2654904686942	10.348757390524	8.9052054279843e-07	0.000288083395595292	6.30657676478287
1600	1600	-1.55256388809171	19.9353611962029	-9.13166679177107	2.88291033555561e-06	0.000621747662368161	5.16019707944136
339	339	-1.61845733482813	22.9534367649806	-7.92496189006189	1.05259566655842e-05	0.00170257349065825	3.85872000169302
1143	1143	-1.41736365502232	21.6273962075319	-7.47088423724978	1.78112318574089e-05	0.00230477340234872	3.34279752412735
1232	1232	-1.12647946192589	21.2816855878686	-7.29673121202715	2.19262656409926e-05	0.00236438231162037	3.17614091380247
272	272	-1.32941249169657	20.7483765540745	-7.14817718579823	2.62527564165677e-05	0.00242650477164562	2.94063004916322
2112	2112	-1.63203784714315	20.2412626454836	-6.63289840224278	5.00511926251248e-05	0.00359812462538397	2.29531326887504
665	665	2.09427305147392	19.8804551376818	6.64395326541939	4.93459998187696e-05	0.00359812462538397	2.26185211400679
2806	2806	-2.7034632685878	22.7511513486502	-6.51472979934105	5.83054793009587e-05	0.00377236451077203	2.11628143003778
2126	2126	-1.33591464886635	19.2418292835911	-6.26573230543291	8.09038880129396e-05	0.0047586195949429	1.7739263991735
670	670	1.73995703060397	18.9773416430275	6.19860614462091	8.84965898855518e-05	0.004771441137996	1.66587597686055
2034	2034	1.48862547682741	18.1433384825608	6.05305824891706	0.000107719639563183	0.00536112359979839	1.49639115731522
1624	1624	-1.20732192238264	21.7551380223799	-5.75870878708087	0.000161719310833942	0.00747374243639719	1.08718825075427
1159	1159	-1.61686020289347	19.6886868655274	-5.69477720869044	0.000176919681763281	0.00755763244893057	1.0019865627767
1838	1838	0.969685022910836	18.3789226148007	5.65593342870729	0.00018689662933986	0.00755763244893057	0.936503740142677
2191	2191	-1.49224654900876	20.72742416631	-5.5643222455414	0.000212890310113624	0.00810235474373617	0.833421963130161
1612	1612	1.112371543441	18.5333098148153	5.4387145313088	0.000254995167145122	0.00872464841335403	0.60682623554613
1502	1502	-1.44334907511252	19.2688337482909	-5.43542548221065	0.000256210695291695	0.00872464841335403	0.594352209896409
651	651	1.39441111147858	23.5919860054817	5.34307238501999	0.00029299566641138	0.00880363167316013	0.498681015624572
1496	1496	-1.48633282502749	19.957073327088	-5.37064937153162	0.000281454526699859	0.00880363167316013	0.480018847600044
619	619	1.38016502607877	21.58288625388	5.2507396211063	0.000335458929000423	0.00880363167316013	0.35743020743386
1941	1941	-2.15139413590396	20.5217754613191	-5.25755187420504	0.000332112098130107	0.00880363167316013	0.30415006741025
2813	2813	1.20174756513113	25.7421492427132	5.19547264601622	0.000363977544944306	0.00880363167316013	0.222291635682915
895	895	1.78926455195118	18.4213098458974	5.20296280425932	0.000359965651737335	0.00880363167316013	0.214715098024779
268	268	-1.30370986686538	20.9364941156362	-5.19104459918016	0.000366371684735421	0.00880363167316013	0.193921439927954
914	914	0.66523567708571	21.4437580730121	5.18917982504619	0.000367384938447177	0.00880363167316013	0.18628471011449
278	278	-1.29955127257554	21.0944906115207	-5.0614960757734	0.000444388701682355	0.00991446517201668	0.0178185085727653
831	831	1.85508841714187	19.4950506801249	5.07176574324931	0.000437601320789317	0.00991446517201668	0.00713032376157674
1708	1708	0.973032406038661	18.3562433230007	4.98632930663963	0.000497608327336023	0.0107317529262136	-0.0552430369573074
650	650	0.759062760097801	23.4845865929817	4.89016803815682	0.000575764480513931	0.0120167618997585	-0.171634333222129
2800	2800	-1.76569681300495	21.7798047696931	-4.81282459573606	0.000648066947148521	0.0126110915151689	-0.274723911154366
335	335	1.21974178022298	21.2114958627849	4.83026505055444	0.00063096139628414	0.0126110915151689	-0.349065299622882
897	897	0.958777267159123	19.0667828979995	4.7948453065858	0.000666216775128135	0.0126110915151689	-0.409458949841992
623	623	0.950922263093238	21.5820231073705	4.77943006540724	0.00068220742354082	0.0126110915151689	-0.423999507839151
604	604	0.591909522179088	20.6840852602792	4.69549356841266	0.000776715854205239	0.0132621590872	-0.5061228116576
814	814	1.76130586577402	20.3104704027898	4.72028613210178	0.000747436026643404	0.0132621590872	-0.545608774291422
968	968	-1.26068129216035	18.836560224261	-4.69366640343302	0.000778921244688715	0.0132621590872	-0.546189014319944
587	587	1.53545360971672	20.547795714902	4.66248154956218	0.00081760118716069	0.013386153156219	-0.626947782253356
133	133	1.55986175375056	21.4912544534508	4.63403891768297	0.000854654532330904	0.013386153156219	-0.654318028542908
256	256	1.49730025087062	19.5045384984403	4.62698266159047	0.000864119320075081	0.013386153156219	-0.670526224697265
756	756	1.07658908279598	19.5109118176316	4.60831532843694	0.000889696976965654	0.0133868359092274	-0.696199492457603
