	Spot	logFC	AveExpr	t	P.Value	adj.P.Val	B
2607	2607	1.20866823058198	21.6003042941772	6.28132369581105	0.0000283297704656275	0.0217006041766707	2.16309147721724
2257	2257	0.561431813011556	22.8873835357717	4.20813971748345	0.00102488491517595	0.263373888889709	-0.626829094164848
3066	3066	0.641769355990618	21.5234927709637	4.2046900690335	0.001031490426461	0.263373888889709	-0.637262566468983
1471	1471	-0.531575381600092	21.2716026565491	-4.0053178777805	0.00149829014148971	0.28692256209528	-0.92823888317332
2489	2489	0.481687973399695	17.5321953511119	3.77194868382842	0.00232993860405872	0.297455495118164	-1.29865063219664
1895	1895	-0.459726106765775	18.5881866514816	-3.78259654853344	0.00228325746011643	0.297455495118164	-1.30013186022983
2468	2468	0.455610280444832	23.9572514019464	3.58749480255656	0.00331229230233484	0.331717887607048	-1.58645391085437
1721	1721	-0.56913506183724	23.4710218418429	-3.56402715783043	0.00346441658075246	0.331717887607048	-1.61840829571867
835	835	-0.428512687648866	21.0126245363875	-3.10342413096092	0.00839518864385167	0.544109742787182	-2.36820115412145
1379	1379	0.402510819548362	20.8932915572271	3.09147040292547	0.00859055673773183	0.544109742787182	-2.38550714213934
1073	1073	-0.921546268361411	20.919761451202	-3.08632186598297	0.00867609324659846	0.544109742787182	-2.39745695502294
2950	2950	1.01345519163762	21.0406306764145	3.02483279571381	0.009765625856347	0.544109742787182	-2.49377886018714
1767	1767	0.540980755686842	22.1710178493036	3.02199730315006	0.00981902699713808	0.544109742787182	-2.50304757269662
2274	2274	-0.473201036224086	20.3993066308868	-3.01539141978622	0.00994456448958297	0.544109742787182	-2.50983258538033
713	713	-0.345631825202307	23.3716995762791	-2.87195231155528	0.0130990106826118	0.635056671121072	-2.7370118837462
1833	1833	-0.546928412207806	23.9655054531577	-2.86539009619807	0.01326489130279	0.635056671121072	-2.75506647716243
2747	2747	0.363336086503416	21.2975164243871	2.79319268451671	0.0152322480807742	0.641137580340875	-2.86797996905624
832	832	-0.530328855218002	20.9820308881561	-2.77623840414822	0.0157343239186518	0.641137580340875	-2.90213965512192
1725	1725	-0.324620508694892	22.8279641026813	-2.74507382934207	0.0166999197691526	0.641137580340875	-2.94646423219659
3006	3006	0.269709663804643	18.0641148102011	2.73465741080946	0.0170354289200189	0.641137580340875	-2.96504166206559
819	819	-0.504896098149272	20.2821133359125	-2.70892896947869	0.0178926611805279	0.641137580340875	-3.00786509047687
1697	1697	0.278427021723661	18.21479137718	2.66864538136207	0.0193201910924959	0.641137580340875	-3.04747455951631
1796	1796	-0.721318912779178	17.9746128542326	-2.67616840163598	0.0190454137518695	0.641137580340875	-3.06052476702715
3083	3083	0.409577810289418	24.7246256729444	2.61611388627319	0.0213494888363033	0.641137580340875	-3.15174292536162
3059	3059	-0.920893652078756	23.0596948315957	-2.60678402963394	0.0217309643510199	0.641137580340875	-3.17287180441532
1646	1646	-0.20174438600419	22.1688159913978	-2.57536980200497	0.0230646943269843	0.641137580340875	-3.22699545067342
2003	2003	0.378549933131111	21.1541025311033	2.55875750823728	0.023801731594324	0.641137580340875	-3.24794785557207
2932	2932	-0.360970803850034	18.3919196633992	-2.54898009313975	0.024246134033272	0.641137580340875	-3.25955082868388
2894	2894	0.495853187690075	19.079507315335	2.53081564506445	0.0250931441856029	0.641137580340875	-3.28771765063591
1732	1732	-0.452590152553203	22.6296928259196	-2.50672207315117	0.0262608428618236	0.641137580340875	-3.32815550097904
2161	2161	0.228888203578661	19.668711055858	2.46583283048511	0.0283634597603054	0.641137580340875	-3.36192149681072
1962	1962	0.275622647898757	23.6888244655876	2.47516135211087	0.0278699476852958	0.641137580340875	-3.38153128379701
1843	1843	-0.29612810128489	19.807941594595	-2.45682208927799	0.0288481335724755	0.641137580340875	-3.4037123809644
1749	1749	-0.252704673309156	18.7482305657108	-2.43753406947227	0.029912497293895	0.641137580340875	-3.41558930342248
2388	2388	0.264811703034252	19.440484716354	2.44065865015078	0.029737551818055	0.641137580340875	-3.41904625620503
2552	2552	-0.348559432671946	18.959117576424	-2.41301797360069	0.0313198317210361	0.641137580340875	-3.45294568530506
1781	1781	-0.446013735704441	18.5876989709497	-2.41059348438943	0.0314624062511968	0.641137580340875	-3.4768695552248
1145	1145	-0.320382041931126	19.5429693827407	-2.40479728871288	0.0318057807479807	0.641137580340875	-3.49307687267158
2299	2299	0.479289455665276	21.0681525440033	2.38489885135685	0.0330120859301465	0.641892268418726	-3.51807668890538
1651	1651	-0.27734592270909	21.0616995745251	-2.37674096979954	0.0335191785075053	0.641892268418726	-3.5226481868746
2955	2955	0.356642081638775	20.4039556319551	2.35664268652404	0.0348004096651143	0.648188337761306	-3.54718105977532
1892	1892	0.279631868843056	18.9532354705516	2.34535457213741	0.0355403527232048	0.648188337761306	-3.56964115400538
2506	2506	0.254460361100636	18.2978387442952	2.31843488467969	0.0373658906183041	0.665634237526068	-3.58665514898311
1955	1955	0.202500368534053	23.7361807118944	2.30450335581205	0.0383453112681529	0.667557009804661	-3.63281985260705
2194	2194	0.294106486245134	22.3722644332741	2.28065962186245	0.0400783509301246	0.679457244532051	-3.67735869176738
1064	1064	-0.316798497794845	21.5522260564778	-2.26363744166566	0.0413606978274174	0.679457244532051	-3.69990955008509
1903	1903	0.382448120305038	21.6429075132436	2.25583716261889	0.0419612038034711	0.679457244532051	-3.70894451116754
1963	1963	-0.34786183895541	19.9932364896457	-2.24438595974285	0.0428577205771093	0.679457244532051	-3.7165654024512
