Spot_number;HT_Br_141_27754;HT_Br_142_27755;HT_Br_143_27756;HT_Br_145_27757;HT_Br_153_27758;HT_Br_182_30362;HT_Br_184_30363;HT_Br_186_30343;HT_Br_185_30364;HT_Br_189_30367;HT_Br_221_30350;HT_Br_222_30351;HT_Br_227_30353;HT_Br_229_30354;HT_Br_233_30355;HT_Br_122_27749;HT_Br_123_27750;HT_Br_125_27751;HT_Br_126_27752;HT_Br_129_27753;HT_Br_161_27759;HT_Br_162_27760;HT_Br_166_30359;HT_Br_172_30342;HT_Br_173_30361;HT_Br_202_30368;HT_Br_203_30369;HT_Br_204_30346;HT_Br_205_30347;HT_Br_207_30345
261;4334399;7124566;4653078;3544489;5937098;5613819;4958300;6896075;5134661;5038362;6010909;4667180;5287744;3435807;4016573;5980852;3016841;4670965;6497067;3183194;4960845;3067137;4242380;4791876;4717194;7605714;7089512;7364604;3837071;495643
278;5023183;4099681;2416486;4539054;6193127;1760102;927244;1912418;360121;531283;137020;17706;41103;25407;3585;3648368;4090288;3056991;3229587;3707375;4365022;1670245;1030234;3163078;386047;18491;131085;2135;102489;194
256;616101;1836712;847465;643824;532741;1170363;405838;1346315;469769;586920;26488;120257;227490;11010;604;774151;744760;712580;648493;793134;810548;487289;720656;657228;59617;0;69324;148325;16108;1239
268;3823924;4990206;3661652;2830706;4484534;1546273;803363;582541;1021958;180586;21284;30716;193636;12909;156;1715186;2435837;4206784;2965883;4678630;4972832;1386623;1691565;2927506;74537;5369;14417;4083;8945;10155
272;3748074;3440640;2308644;2929552;6505446;1396779;537405;852793;537385;173031;71247;9325;211741;1850;0;2264339;2645108;3140505;1965166;3489461;4055182;1074282;1692871;1561868;4134;15853;44019;8175;114;110
266;2233805;3594920;3034899;2450388;2667870;1072492;229441;685869;743796;107611;14954;8415;47537;13610;6676;1700558;2005649;2243825;2297506;1580353;3048310;1099970;1888347;1882571;404;6894;2408;2389;0;1931
284;20108916;35371131;14311074;31607795;16379242;7647916;9636613;1833971;6732795;4864798;25015137;21922526;11292726;19044876;41792679;28630105;19364393;22673176;37644922;8474750;6333392;40212678;20338659;6343717;35933835;12953182;34596645;23651613;9299123;26208107
292;57919934;84320288;60026778;80836784;70276922;41222957;39248069;45898132;42058346;35354958;29096461;28050466;50009788;58775151;52472590;71828081;49731873;47990779;48359354;47371358;57730926;44321239;63209052;73016736;69858257;33201846;57223076;42541294;49688816;38989908
275;1337499;1471642;1577709;1592232;1301073;909243;398093;2692323;212240;540311;23884;2373;44498;19912;959;806781;1028218;1133089;691401;1198924;1603882;1020676;1210781;1639931;21813;860;1004;7826;0;0
271;820460;873195;524407;649666;1975637;305401;288523;1140;85200;18197;958;1959;33422;978;0;435261;985623;1289173;633029;1086797;1067128;349732;365072;552824;4163;4635;7185;12895;5474;0
263;843686;1216300;1386972;1487825;2185340;859048;558325;5096586;959938;580159;41328;101286;159694;71103;233;941429;1026098;828479;711607;1259261;1783765;890570;1561899;932331;6705;11715;17036;7509;5631;661
