Spot_number;HT_Br_141_27754;HT_Br_142_27755;HT_Br_143_27756;HT_Br_145_27757;HT_Br_153_27758;HT_Br_182_30362;HT_Br_184_30363;HT_Br_186_30343;HT_Br_185_30364;HT_Br_189_30367;HT_Br_221_30350;HT_Br_222_30351;HT_Br_227_30353;HT_Br_229_30354;HT_Br_233_30355;HT_Br_122_27749;HT_Br_123_27750;HT_Br_125_27751;HT_Br_126_27752;HT_Br_129_27753;HT_Br_161_27759;HT_Br_162_27760;HT_Br_166_30359;HT_Br_172_30342;HT_Br_173_30361;HT_Br_202_30368;HT_Br_203_30369;HT_Br_204_30346;HT_Br_205_30347;HT_Br_207_30345
521;13062373;10882897;11559903;13346279;12746310;10340324;7795126;9326041;10455149;4045158;11544574;10853035;8689279;5456021;9694378;13088904;12039416;13316573;7660521;10944939;9812956;6897734;9246066;15165673;8972850;9638449;7619979;6662397;10347929;11585057
513;4732943;7500981;3708386;5213925;4793394;2758235;2720878;7135677;2357640;2957459;3559978;2350917;2324353;2727382;3627852;3252344;4141315;3524853;3296300;2888285;2744310;2891545;3163496;583782;3436670;3068514;2031794;2266901;2950710;4704879
503;530276;535001;622241;734839;650716;669593;640199;1847804;652757;346118;216586;237528;208729;278524;1255;571197;648395;814598;297909;742265;753018;206009;517913;1115049;11475;0;93969;51633;318;0
511;5262903;5357696;4122471;6454939;5260283;1624484;2803465;1875681;2218971;2554666;3429928;1694235;3356668;3255307;10242048;4420505;4335913;5779059;3421812;3723953;3533015;4401122;4066361;1494560;4602197;4941996;2760158;2279270;3986684;3775828
516;2350089;3144798;1993455;2258166;1977596;1687581;1269450;4393135;1412785;1233522;1889959;1089940;1294301;679402;257394;2584594;2060320;2723507;1796862;2325265;2396044;1140067;1926160;3179735;1716459;144159;960254;1105156;1187512;469469
505;700811;1484331;771150;738059;318170;300664;305445;32078;318828;356228;925312;846098;334405;526474;1339149;710579;495375;1234844;2433467;533709;322451;1373879;852168;227126;674956;516049;1089434;493687;540517;3445011
526;1546516;2534308;1485596;2301192;1152148;1052417;981645;1391067;1835296;874906;1895948;1342065;1002247;693313;1450844;1941824;1405719;1794483;815103;1960153;2103051;1608724;1338291;1232220;1543641;477345;675406;1260635;1111366;439306
533;8307438;5005588;4658379;4867633;6589097;6653715;5622530;7296146;4902510;3487307;299250;304849;598609;651236;367711;4850915;4002919;6790162;2704634;8752051;9255304;2777589;5310359;8329662;199588;58857;8865;51452;20128;0
528;4097258;2567082;3356179;2106399;4145200;4931668;2594015;7350865;2198609;2575788;845077;664805;1013358;105780;4389;2116604;1971897;2837033;890370;5368251;4067942;1218844;2341002;6880295;1472824;4333;290508;383069;128914;2162
535;5335006;6202380;3442160;4612574;4041421;3623652;3275315;5457767;3270197;2093833;844401;989994;697269;981713;10443;3556604;5135992;4304848;2274787;5958970;5562336;1777498;3827670;4688797;861799;251968;34298;105241;386599;64385
555;16776193;20008547;14793767;16371688;14117237;10517525;9924102;17392252;12523476;7170799;8310000;9211085;7125249;4646532;8340849;13033352;14408116;14538804;5579235;16151200;15853041;5967729;12878355;32506245;11177195;3041896;10357790;5783311;7865619;1681932
530;2605504;1707797;1334941;1423687;2592057;1649971;1300337;3100800;2397756;1456273;17440;72971;284803;72767;14;1554750;1214161;1854331;1299567;2394245;3982941;889795;1631351;2619407;6085;15679;2776;1810;493;1352
515;3460845;2101802;1627414;2272451;1445775;933856;1012074;2993874;1182034;705634;1145782;1104348;717915;334706;403563;1880448;1631619;1779258;937992;1551651;1228778;1020471;1468978;1761402;1192391;37917;536781;638548;878193;16085
536;3786590;1699854;3443736;2287361;6204739;5474696;2442732;4192610;2972999;2684539;576150;77605;1263811;193780;0;4171635;1846943;4162879;1760466;4611286;5865789;1824821;2953796;7910597;210088;5884;34742;9567;613;1333
529;3104520;2028882;2254905;3005419;3733520;3640936;2329187;8019562;2119865;1779391;603802;480537;704668;441428;6772;1820474;2302651;3413881;1025063;3881969;3807421;1300968;1917232;8069091;633195;408;135893;507622;49084;12956
574;13209323;8804547;4917297;4771316;11492651;10358895;6734963;10766809;10837605;9391816;1125423;1355124;2349448;3400954;56986;4765894;8805184;8471834;2725791;11843237;14417151;1846891;7005703;19051064;3426808;28081;1003754;1109232;1071488;12081
523;2830701;2242029;2014779;1850316;1791529;1481099;1255970;3645078;2222951;1272933;156090;444532;603504;438634;5846;1237127;1376713;2898933;1036032;1914380;3258606;1258323;1312912;3891474;117220;3689;329308;85555;20121;6124
538;4139722;2569353;5710712;3478991;5793569;5765727;2869753;4198962;3089711;2334763;711965;427281;2740158;534826;2399;4510781;3162487;3176276;1662069;4210556;6612769;2108799;3678970;7367365;243405;372547;237189;23711;2668;0
537;3636318;3680931;2249674;2687495;2720051;2449144;1109431;4577984;1383384;1654438;25011;1291108;502505;1305730;130125;2334448;3133194;2307612;936373;3507034;2653819;846571;2658822;6164840;701825;144;109935;401382;878608;234
542;4856848;3654786;6798484;3016988;5422990;4979770;2422694;3384968;3004311;1867497;525133;1310340;2545179;949232;142060;4433629;3699925;2485393;1372096;3081268;6049220;2357448;3283025;609208;504249;13719;148670;269442;10311;3341
571;6334978;10162668;6582832;5384516;8253857;1929613;4614023;39585;3085058;2287500;7928649;11432875;4013903;7986577;9583439;10092886;5091584;5406092;8672767;2943035;4029526;8799044;4233807;992546;7633691;15731159;11023322;7035878;5724316;17166037
575;27871716;11562150;15865838;13992813;26118085;21774314;12768318;37939281;19364051;15445215;5846486;6258217;10832721;4860156;1858049;14463771;15122913;14615853;3661046;24808203;27191898;4174737;11937544;43359568;6121505;40042;823416;4176632;3629216;1143
540;6767467;5770619;4604185;3735409;4662616;3525072;2265209;3846495;4856585;1013247;1236733;1721099;1196543;1317451;523172;3033851;4635855;3817555;1662542;6217683;3955185;1682444;5135336;296710;702734;3533;3463;527443;31544;2424
541;5019524;1817873;1106230;3129896;5356633;670674;2389;8646807;120973;687699;5148;0;0;12614;0;978823;1322215;1839995;2179098;2756916;2580089;1863566;364587;2352957;125731;13479;4183;16109;702;0
543;6724513;3998400;1965222;4350953;7730922;934403;50082;1892180;2162165;858473;610740;189;4578;24794;0;1598584;2063101;4878600;3689148;8854399;5582445;2251599;3451233;1952875;165365;126272;58597;166658;163987;234
570;27254742;11036498;15933059;14195404;21341457;14949162;11726592;23539601;16416775;10751951;6907520;7413342;8402824;5494904;1548339;15095896;14594954;20854804;5179824;20164700;25597106;5623442;12550253;27378204;4224574;127862;1564958;5212272;4731303;8376
551;22847791;39810056;22921207;20091618;30254366;4332030;7547778;2645033;9783816;7776080;25207813;17829064;24252666;15487009;48553020;25315524;18891194;18272359;22442888;7273699;7721988;16632478;15223867;9417448;15540274;17135580;25716384;9689173;17724965;21766295
532;4809531;5580831;3979501;3309818;5089652;2311652;4666628;23477;4227159;3343588;5829891;7678237;2200725;4896949;6007735;5208036;2621028;2751318;5837732;1705729;2903242;6599969;2287032;351821;2960596;7054573;6841596;3448657;4212476;13525435
548;3887268;2907910;3821624;3472003;6799308;1027491;2551979;1007875;1880059;1758464;2109845;2097558;3004724;1746996;5125457;3759127;2401696;3569961;2477748;1601299;1806009;1618775;2508885;619523;2802866;2672450;3256879;1039565;1697565;2171679
581;42120275;67424446;60409197;66776894;43508211;42476863;30681523;31479809;23709154;26436264;42547520;43270282;27993200;41986478;44461587;54186589;32444180;44780949;54644180;44493833;31164742;46357388;29378327;45779253;35066028;51756356;58960798;27666461;33363460;42938661
547;2690657;2947704;3063633;4046207;3445879;988341;2246515;1029230;1970878;1465457;2341014;3669278;2455985;1983291;2730340;4003495;2052487;4382483;2324944;1429886;1845156;3395592;2142149;1334475;2662752;4051986;2048557;1097422;2215152;3138174
549;3772306;6628720;7062775;6292293;5664223;2153474;3358581;3107876;3521669;2285940;3843482;5058474;4158583;3351527;6711219;6992096;4861343;5675544;4223383;2921600;2479129;3831517;4624747;2555245;3762030;4232028;3418393;1268825;3336251;5996521
553;4492994;20473032;7489871;13874923;4100183;2414350;1566929;1130463;3057146;2454702;12407984;7249537;9703659;8017838;11787389;8462939;5353165;6745614;8108433;3424695;2806894;11068235;5474703;4445909;8329038;10038461;14200721;6019139;9141745;14331663
554;983386;2981728;3119945;2164239;1321108;1204622;2335526;1680966;1294818;960763;2364263;1289625;1292948;1445280;2010289;2966278;2077906;2923503;1514401;1904492;620690;2218755;2143661;3194280;1564697;1801863;1744883;639410;1569324;1170947
562;2827247;2658316;2658887;1806905;3204108;1722391;2148887;2252553;1610438;1148908;1871781;2479310;2690046;1116105;1134206;2103732;2547132;2072296;763653;2465889;2870192;1223868;2488840;2333518;1866561;22056;1269908;1395300;1881099;7627
569;3364751;6020732;5691730;4505834;1646927;4086852;3055728;4306296;1781219;1622677;3055337;3007032;2445376;1995835;3672105;4412338;3726122;4800472;2696998;3615663;1698220;3114394;3345037;3813878;3169085;2365584;2897279;1263650;3146832;2944613
552;7634687;1629803;2699917;2498419;2074848;2076308;1140068;2162751;1518632;1852000;823069;1166457;1216252;580510;1868279;1666483;804988;2353913;1047637;3777065;2282514;1244192;1994705;6405906;1118446;548233;1078006;904838;1125118;224017
568;8949591;4290638;6849871;6617411;11034667;6590793;4767937;10955594;7684978;5314970;3775349;4190147;5477699;3161596;667702;6465354;6130669;7069104;2766436;8193065;11293685;3753894;5535154;7603264;3072309;155342;2873549;3558338;2900581;198
557;4724219;2612651;4100638;3132482;2599539;3580818;2732292;5022198;2788075;3010743;1571379;1371683;1441450;1047040;1675120;2946818;4883290;3736066;1053798;4298882;2939042;2035869;2745526;8991442;2627966;1475886;1242183;1192090;1829571;1162617
561;1920064;2137949;1597096;794241;1442822;1562970;1249915;1511222;1174017;899769;1428575;1175501;2172803;1035171;1018682;1177351;1638254;1408646;815516;1474972;2325994;1762366;1608474;2687459;1274970;133468;1449331;869330;892812;3940
566;1916233;2565085;2644081;1768116;829713;3802448;1486575;1981936;739846;1108217;1136059;1356397;1125922;724333;1633611;1990671;1696202;2418044;1091609;1894744;1005548;1367461;1247809;4465442;1324158;912103;1126804;661890;1689480;532822
560;3480810;3343159;3446450;3127577;3143931;3489378;2697071;3383600;1994016;2013731;1568122;1761017;1642390;1098163;1894738;3134620;3287747;3543545;1202299;2866715;2138033;1041007;1596194;9438912;1806215;888794;1255213;980172;2293303;487122
558;5099868;3398466;4692105;2984383;4348073;4826540;2928724;4055515;2267369;2974566;1712418;1765229;1616983;1060570;1836050;3674585;3894930;4755028;1367307;4813951;2757401;1718314;2421747;8293783;2437762;1261244;1453552;1198759;2457055;1494240
582;11600257;5980816;5161759;5649316;8691651;7110631;7801106;7371857;8312836;8265590;1738708;2739217;5979482;4180787;371433;4791906;6460645;7711714;2263596;9135123;12723913;2450585;6470929;7602732;2320746;183032;1057437;1882506;1955952;444
567;3160549;1985147;3417650;1404345;3860095;2447106;1768998;2116125;2491959;1338945;1343681;1358842;2169220;195385;120826;2477629;2304965;2367726;1040585;2834612;4443794;1341660;1857063;2050082;1587637;63238;766565;1069098;887483;458
573;4542963;2040877;2940249;1197443;6125932;6264237;1713961;12284416;5289774;5196796;172355;1022828;1552307;848535;18801;1570169;1576514;2061144;850679;6269817;6328346;1052477;1895755;10153569;167588;114115;81678;192713;278713;215
580;1497880;1211816;2309641;1199781;1783621;2219511;981129;3132839;1721732;2236375;623419;1069053;1243351;366957;36248;2139102;1027544;864930;622851;2489342;1432470;375022;3230745;4358838;358388;67124;47727;298306;176805;11
587;1130945;930448;2222943;1075323;1632903;2416134;946624;3442089;2687448;1152330;1152316;774487;592629;557058;16110;1939902;893002;1246324;897963;2867115;894695;535231;2532873;2181869;221692;127675;27028;198119;520015;0
588;13502105;9730138;8575557;8572086;12824464;11247924;9102184;16453140;11035835;8984164;3894387;4977961;7584014;5143794;914451;7817480;8036043;9861060;5276520;12281933;18196305;4035435;10428603;16928059;3121298;1066890;1596572;2561504;2306578;973
583;7213941;5446316;5719034;4700460;7325364;6160095;2524024;9637010;3807272;2577926;678169;620891;716168;762561;44814;5371205;5224218;6999863;3990504;8084414;8493921;2591775;4723012;5236378;360195;405816;390243;205980;149517;493584
589;6737180;5651980;4570944;4956356;8046576;4474960;3893131;10071792;5180499;3956193;2082059;2399170;2605126;1967532;776554;4635245;5085627;5366819;3145448;6437072;7021318;2479235;4341528;12094513;1731339;1244870;1200978;1097356;811356;260894
576;947580;747102;625319;1416337;779054;574392;64416;28444;84126;138066;2463;14777;2790;29311;35872;493838;591295;694462;822641;1335187;938805;326314;631014;259657;2366;2520;37;107763;1617;1096
592;497450;318860;578218;386559;777721;331489;44882;260091;449673;151225;18;0;6894;4755;12460;358798;380075;566125;290497;641872;714098;699830;249818;800932;1376;8719;0;0;0;0
602;1099642;1246738;1045175;1017675;989896;630247;574679;3226326;413956;489616;596708;633155;637272;411864;826022;790515;806568;913249;1145324;1505508;843327;472388;456958;640520;407810;276812;962431;752912;746810;652963
598;2264205;6764529;4475689;4021776;1165117;3355481;1636126;1219769;1318942;1793504;3542766;4973050;2405120;2226196;2763399;3142945;3823663;4373132;1750478;1585359;848915;2678492;2530128;4070478;3887402;5361992;4364341;1446201;4709710;6350328
600;4150651;3421394;3255630;3178289;3027726;3315951;2109399;3032054;1970481;1249098;1211517;1186259;1119982;811184;1448994;2988439;2989743;4237201;1069266;3212155;2877286;1097451;1862705;5215731;1649644;730526;1191346;1121162;1326011;1840012
604;2037180;1746889;1678551;1881301;1928176;2319424;1282028;2094404;1307104;824699;1720364;918028;1772016;1224966;565893;1312474;986376;1703340;766504;2152035;1949763;943708;1451660;2957370;1435007;26188;540918;791866;1228950;0
624;7974973;9490664;6333237;5535920;6268279;3825817;3855843;2514125;2348996;2959308;3139107;3154202;3145700;2567773;2552787;6592248;6245696;6483378;4035406;5690856;3201666;1966813;3714616;2307282;4519894;2186281;2427463;1331647;3004659;2746260
625;12386196;10377799;11988201;10916105;11016123;9033023;6061720;6356117;4391411;4569861;4082206;4738125;4346549;2418658;4422537;9071966;10785407;10040297;5657538;9315231;6086064;4434397;5354396;5070425;6349755;2670139;3162604;2339913;4356654;3060020
613;3829024;3924181;4409122;2692338;4115465;3700188;3106434;4027808;4746971;2840527;1061436;1146891;1568535;1615838;281962;3123931;2304564;2848261;1925653;4166403;5099018;1712227;5940647;3684464;866322;2160;371584;987002;384127;1631
606;2130516;2208408;1566826;1842447;2065413;1315380;1261588;973323;1265817;1088613;810926;790352;1212841;603480;576166;1578866;1703221;2183853;1157578;2260745;1390561;673762;1205691;2089130;949863;380501;1202409;681661;806977;290563
609;1196921;2702628;1557864;2910182;1317931;1319397;787413;1142502;840480;767646;1378044;1143292;1693142;897395;318604;1158478;800784;1355828;567237;1741409;1779927;888473;1680000;1834970;863173;9786;478231;1483306;1258258;2023
621;7798754;5061794;7527628;7044251;9207103;5216233;4211119;1375920;2861045;1614824;2010680;2985683;1911501;1473693;2201195;5875531;5213382;6287655;1994900;6159659;3765769;2543645;3494156;6409688;2804595;1436153;1422363;1588650;1394860;951537
605;1799590;1961183;1254975;1751358;846205;1247740;865870;588313;1101079;793482;784016;747870;981117;506854;655013;1581633;1375608;1632476;728195;2125810;1589840;619218;1118985;1805052;736590;630434;972826;664405;911598;991533
614;1267825;2095004;1816601;2819560;1318512;940173;954478;1971917;1066099;1003813;1048715;530980;1388903;784992;5773;1333403;699433;1494163;883373;1315212;2151400;1197687;1950799;1931680;75613;224;168041;808563;1000273;1067
637;66882545;122047199;56824225;67096892;49487274;31139032;45212541;6210552;25632349;39757494;126931335;102275996;78379911;91329780;92075403;83702667;50238090;66174009;128864706;18586171;33741177;165247919;60182814;29256480;56818570;129297781;121410524;89968793;102026647;98996396
617;689599;1222705;1449940;3561136;602667;679696;548906;1197424;1121362;763535;133751;117907;231739;435224;1778;676321;604144;1175722;402880;612895;894176;280318;1088625;1046163;3471;2016;8123;340658;674769;0
623;3195387;2164164;3037236;2385233;3078074;4105888;2931059;3717264;5259556;2154040;354794;1110830;771770;716095;7724;2557380;1684921;2340199;991713;5069994;4033781;833641;4538179;3723371;320085;6959;43465;392142;416854;0
629;1223713;1000988;869473;1160035;1970158;2075080;185675;338509;1282848;1155518;28656;8902;756;12355;0;568062;680619;952081;825125;2198446;3121036;657618;564697;1590381;3167;0;104;3217;24;0
633;2061055;927612;1423751;1293146;4045975;2611012;58274;1292332;1339673;1882299;2800;5729;254;28249;19245;744834;1462425;1131073;1109730;4096876;4908897;1715267;725222;10759715;13478;139;34985;611;1256;3275
622;1582916;2974669;3444202;1137901;1707110;899001;2210339;4242073;4545423;2988569;42206;273295;251977;844292;7000;771236;1178782;3776054;725693;1390400;2105070;502857;3712665;1011894;74675;634;39834;594566;203162;1374
619;2600238;4021123;5189154;1133823;2429358;1181474;4694754;8482559;3657526;4336770;7190;218945;491717;990546;159964;1245963;1853506;4988582;866222;1655422;4228662;522973;4689978;1658602;92974;312;26760;236013;31679;10190
651;13437959;2811740;11993773;2973557;17679571;22245286;14200883;37601677;16709004;14042348;6707687;1569233;9409915;840831;1090487;4936918;10133747;11551417;1633762;16440115;22178585;1845408;11551768;33546135;7392350;2039228;2378093;1727739;2423434;1401840
616;3243116;3633239;2356955;3533442;1798537;1271970;3147807;1368151;1013602;1640416;1962036;1681355;1693510;2314441;1449118;3723865;2629389;2646072;2076991;1802637;1059817;1242485;1487830;623229;2238392;1607577;1095963;740705;1776378;1594971
626;5001956;3221725;2459096;2492466;5290701;2771643;2293749;3612934;3363638;2268240;1756818;999663;2054072;1482078;899637;2121713;2443196;3440832;1942385;3390556;5287829;2229462;2060787;2648054;673610;57827;514621;769508;581464;519
627;1482229;1142234;898793;895322;1664546;973188;438498;1207579;853276;772329;1;6745;2299;22792;5;923922;749140;954325;628278;1558566;2396585;475727;518583;1298602;19332;0;33879;3641;0;151
631;1096154;877501;1278962;1975476;688249;1641586;738631;1265489;1087314;1835099;690796;1994539;1596299;1341026;3235274;1412999;926567;1103436;2598660;1898232;1250185;2750607;829495;2974421;4322865;2088579;738784;779272;966039;2273466
650;15015589;4755314;11081100;8168106;14098075;12422808;9742939;22629898;12043380;9765114;7939803;2028076;9574556;2210221;2515064;9462070;10704059;10031338;4277662;11860956;17654443;1560557;8973633;17590744;6996551;427458;2429256;2698689;5841718;973370
635;836441;10432940;2024447;3351202;4923689;921531;655227;888671;494896;908081;3646615;3140686;2803619;4161688;5006947;5181422;1715722;1545775;1765473;1134240;1077948;2382083;1148640;723289;2927783;2655094;3923154;3148992;3429437;2494089
634;2300581;5581928;4225895;6031684;2129612;1739849;2075046;1861724;1122731;1482910;3854256;5639330;3210956;4294178;4045025;6549146;2266565;4440313;3066657;1951258;1837165;2989321;3204308;833543;3656708;2856153;2952694;1599518;2917029;5018865
636;2077098;10618413;7278949;3597050;5885614;1448298;1923135;2895257;1201763;1900667;6686338;8067254;5235212;5652002;9229457;9727783;3316765;5954757;2713948;2295632;2360352;5445777;4381872;3234121;5731861;6382344;9585516;4921815;6317694;8019799
647;6488917;3488259;4562976;5304706;5162458;4367649;3689093;6556786;5359899;3811257;4379298;2585541;4279406;1313149;2595333;5634050;4292299;4447984;1007592;4138537;6868315;1199145;4062936;8086574;3622281;354485;1143496;1467705;4194140;2100
643;747472;4085334;585777;3011445;480718;797301;706159;9306;328573;1019164;1891211;4077695;1278700;3383591;3166474;1882986;547980;881457;4308550;669955;1196911;4602669;601912;742476;1203355;5188821;5614997;3412203;1976991;3350530
753;212318471;242402484;259126794;239120706;238344694;234868438;219901349;460787861;217926002;182689109;245063235;261017120;270348867;181782499;234828720;267308551;235205964;248819931;260575264;229301736;243022843;232570808;236228902;366829430;231244878;203372104;255511524;299200133;197962957;341014470
642;1184887;1749412;1611238;1323888;1069720;722412;590873;2097040;416264;484659;852707;1335140;920217;714444;950148;1682584;661035;1243883;666103;858660;653900;562717;679841;657178;622698;383477;763110;838076;1360333;305608
640;584840;212591;330936;164028;735237;89698;2183;0;55065;55532;0;2181;606;3518;2066;293651;241175;310907;233528;590013;505091;197119;119450;100142;1;0;0;496;0;0
646;2160072;2916600;2238656;2206212;2125909;1825256;1283092;2040303;2192190;1679439;2216830;2035920;1631484;1762580;1652319;3035927;2139536;2165287;993987;1766267;2767744;789573;2313161;2298425;2474446;554973;764531;1764059;2232516;28018
657;1327537;899986;747914;492899;1257725;997975;515753;1332281;721012;620184;90730;18708;164534;295426;35700;661464;443249;784427;345344;900215;1482232;313801;644417;2270259;47255;98;14562;13379;8847;0
668;3217156;1685586;1403093;1286611;3822455;1562870;12716;3353880;117852;112908;5426;0;1092;38075;5909;1520016;1761525;2722824;689076;3943688;3636610;579479;433808;2484354;2308;0;7301;8973;955;5
659;4631007;11751088;5280837;4138139;3322755;7367231;9007350;7465103;4620468;6641189;4583951;3599677;10279411;6158062;6364115;5820829;5711532;6123742;11850437;8265598;6364381;3991608;3536756;15503461;2406676;18500192;21657278;6196337;2241152;11011120
661;3216654;963783;1400537;795204;2954385;2767350;1515795;3988247;3034561;1956867;12764;28132;314355;145838;1166;1090013;1220314;1887754;746042;3309828;4170506;719304;1438202;5576229;273580;141;7287;38501;8045;106
663;5701805;2392976;2583851;2381713;4229858;3115199;2391990;7384070;2535328;2749931;121476;60818;603144;676870;8730;2275600;1977524;2878304;1158067;3574771;6128784;1947826;2083661;12082847;144842;1011;306308;118689;30847;0
658;1049221;762878;793693;601275;850554;424782;413011;1027715;501284;451043;458154;160716;369406;387440;19;1163811;617954;744989;347410;880167;952082;912636;333374;988809;132969;951;37225;124789;77759;1589
665;949482;643784;534123;665043;1367987;1185206;986903;2458535;1695386;1184859;5415;6162;42569;26936;148;395962;1253727;1055190;276982;1474199;2648688;375521;755308;2004084;125206;3917;1017;12501;2435;0
672;939100;451903;917869;642480;1170433;1045796;65286;911423;517475;193008;206;3846;0;2836;1110;486365;915393;477804;428083;1015906;1257180;343231;538434;2996035;525;7809;26;2046;0;3299
667;960832;1833505;1241477;442824;2068178;2442240;730595;1222133;1915882;883247;2187625;317094;571677;951464;1259990;755990;1544758;1366985;480651;1489472;852361;416966;1653275;3995545;1394942;218583;481602;1439984;1739586;194124
670;530436;369285;482580;375895;969505;674140;350814;680035;531005;443030;208;10029;55270;2392;586;483521;338421;305310;247713;624330;714634;214687;374829;747127;3466;12646;8;1347;406;0
686;823148;884973;931941;938185;932307;641917;10470;74036;138049;55881;31756;2818;49057;51545;0;851854;892263;957299;531764;1286949;990675;293176;360214;454940;7166;1751;476;11396;891;0
714;25989120;47842100;40558821;43256571;22008872;8578236;12741692;6321287;9505429;15527442;31367216;26254476;31460349;23659158;46540222;33913543;25362193;43654389;48815470;14897181;19160478;35935118;24750334;10882633;25387227;45525246;47922399;27389124;25870215;66404625
685;6565023;6913741;4319333;8795366;5667017;3342850;4645675;14464042;5213523;2915712;3490297;4099742;4160605;3916904;2282936;5759810;6896349;6045325;4084408;4960362;6162560;3073132;3752062;12243503;3823018;878799;1924150;4578327;3733241;84804
711;15319173;57988402;19213548;41720186;13093241;8363087;8621892;1063392;7003789;9647639;30834409;38962782;21025249;29719720;45798332;34883518;19065070;21347586;62852734;9889964;10286609;51817334;13790784;7747333;24743014;58814979;48346715;36301895;27250234;72725515
712;7384085;25046572;9163791;18357712;6382883;3139864;3756852;1137531;3962572;4576635;15345851;13808598;12000041;11601160;17554609;12862786;8304881;8718064;22547267;3887789;4606699;17108942;7423282;2508361;10125547;18693984;17461280;13653065;11133015;23941233
751;147035886;151021616;152121998;156746271;154249912;125409489;136921514;267646432;125924458;117469675;157017822;157528699;175711738;121376172;124938493;157005724;150766607;154010076;171685124;131835628;153287562;153473422;137961071;183225791;139827657;131930444;161975750;161345027;119789881;151786013
684;4411839;4308728;3694543;4386572;4772324;2934196;1613747;3799392;2666013;1406549;4254964;2853471;3430118;1504532;1044686;5167336;3052519;5235450;1623147;4070321;4716695;2186482;2119885;7941520;2376820;80320;3209635;2542766;2362943;13024
706;12585656;30710128;15173306;23975991;10475232;9783378;10352190;1092534;5274826;8581726;20018816;34221312;13073575;22556425;43075499;22317179;10286638;16142622;61458539;7307331;8315826;47832992;10684627;4789787;12393037;59149155;38681731;29216954;21939743;64523155
678;1043864;762544;751249;784515;1422564;542769;841144;36217;757234;210568;300633;302046;569978;413733;2077655;688856;1036611;475365;433349;605556;476353;516037;493202;957493;214318;295449;796636;386080;445915;420177
681;1329570;690990;1173386;711743;1064354;876442;356343;1764846;401109;303798;949351;635604;824123;336251;305538;1317001;481862;1008724;503490;805333;1158657;608927;361882;921489;467466;15216;758844;587362;493144;89
701;12100223;10943053;9307016;10071673;11272369;6474376;3308691;14121474;4754932;2493820;1944678;144463;3635885;2693269;2099661;9640457;8872270;9201223;7194993;10057148;9659230;6106428;6408503;13878713;1590971;2084805;2596219;383018;2220873;542581
697;10837937;7642874;7848333;5943928;10661004;6396837;1597894;17292787;2913812;2667286;212687;2127626;507681;323270;9596;5644255;6743044;7683185;3471052;9842275;7348408;1307474;3081542;15644785;775183;3969;25121;31211;110535;802
696;4296396;2569152;2972461;2752588;3688300;1701127;1114241;2551383;2623793;1466233;556898;379766;1311838;897230;2267;2362136;1902333;3453950;1315632;3432550;2275353;970533;1141765;4496048;504682;35946;74442;702675;632727;120
693;8899991;4539177;6231201;4377655;10263519;3818352;2751743;5063791;4650185;3080423;612476;1881427;1516763;751896;724843;5779408;4537216;8100640;2400311;7703941;6699188;1211778;2695015;4466965;1265637;850153;66643;209111;420927;86355
699;13558909;13757280;11546073;15891624;13874553;6632268;7479286;9201014;8172392;4457993;3467493;154304;5669703;4457604;2824494;12761019;13462702;12280211;10087509;11008416;11965821;6604600;8756225;8024145;3596586;2662539;4372589;1511634;3567434;0
694;14084298;7103789;10247950;8967669;15544833;6956522;3083687;9577928;6070245;4678072;791460;4093993;1365228;748411;11389;9044942;9452824;11720337;3208182;13211667;9435777;1396900;4514016;9776627;2429959;20036;72239;85404;495357;2616
709;8320005;17443766;9619917;9889935;8256538;5687582;8443778;1905856;4432763;6611385;11958527;32699071;11817958;10192213;19329262;13877554;9028925;11404300;36061814;4999220;5097134;31342694;6952059;3960170;6734346;39220133;20872938;16964617;10935850;56804259
700;6629573;6958815;5981338;6995121;7270077;3285595;3476278;4639596;4251796;2613100;1316469;679157;3106402;2700991;5994;7147736;5533705;7592856;4787403;5660605;6021005;4169949;4611084;5736380;1541367;15671;1615791;791895;1686362;1875
728;37818472;25359514;28223368;25436543;31064356;17033146;20868642;29053817;19216372;25594053;17714929;15721100;18413943;11585145;12421254;26420416;26013786;35635104;20078864;27031749;30043266;14607894;26192490;36071358;13951393;6368560;19468316;14154715;11411949;17597123
698;1987552;2432704;1995025;2258618;2395482;1155572;1047440;2441754;1416204;972476;453031;1789599;1005471;726284;228639;2126729;1652382;2081255;1548252;2363792;1788558;1351394;1495017;6287384;418206;28897;425990;376861;440254;226050
710;6169018;5236942;5696169;5166189;6771038;4644615;1394544;7648449;1627965;1027976;85659;133000;250144;378146;1170;4512568;5308408;5517095;4273012;6689902;5970832;2621151;3099225;5317272;109402;16811;35857;20240;19243;2198007
707;8451969;13763187;4605359;5365491;3466115;5879480;7721747;5634576;4644747;6558403;12805496;15582715;8779146;9709622;16320198;6686240;5438467;9617666;46284188;4675308;3814359;23290044;3668298;5572518;8059556;33547187;14122289;13188820;11685823;41629949
735;68663799;61472401;61345606;65202383;61426913;41872910;48359501;91385881;47943328;44059396;62085568;66813093;62143717;37834301;49539282;65749281;62245676;65641347;66281627;54270878;61616954;60003317;54840331;63774180;54564566;48465552;55075705;61447629;46951538;49125150
708;3295213;4505387;3644796;2787239;1625702;3385418;2548674;1021947;1657720;3056847;3623661;8442447;5699507;3830469;4896883;6170216;3080343;4966629;18091281;2079345;1846920;11114913;2466150;1196116;2476746;18279838;5798262;8828166;5721433;21826680
